iter	RMSE
0	3498.169347
1	3192.042358
2	2916.472472
3	2680.229058
4	2476.054717
5	2302.007694
6	2152.681927
7	2025.382777
8	1918.779332
9	1826.892366
10	1748.818362
11	1684.493461
12	1631.391994
13	1587.292496
14	1550.90792
15	1520.205366
16	1495.485969
17	1475.564199
18	1458.725258
19	1445.421233
20	1434.076861
21	1424.777012
22	1417.48506
23	1411.21693
24	1405.96154
25	1401.811369
26	1398.132694
27	1395.108607
28	1392.616854
29	1390.654757
30	1388.949308
31	1387.473741
32	1386.230355
33	1385.189901
34	1384.301056
35	1383.647546
36	1383.085328
37	1382.343353
38	1381.751458
39	1381.263006
40	1380.87825
41	1380.528962
42	1380.276434
43	1380.017394
44	1379.818099
45	1379.643095
46	1379.496845
47	1379.29391
48	1379.120979
49	1378.954006
50	1378.832545
51	1378.711481
52	1378.590651
53	1378.52011
54	1378.44313
55	1378.350732
56	1378.301608
57	1378.237574
58	1378.178646
59	1378.11119
60	1378.074153
61	1378.021934
62	1377.974242
63	1377.932279
64	1377.902423
65	1377.865481
66	1377.829251
67	1377.778073
68	1377.757864
69	1377.719392
70	1377.675472
71	1377.628362
72	1377.585695
73	1377.568285
74	1377.56381
75	1377.524432
76	1377.484149
77	1377.454696
78	1377.426892
79	1377.398152
80	1377.368071
81	1377.32994
82	1377.275684
83	1377.246236
84	1377.207937
85	1377.188699
86	1377.162736
87	1377.135418
88	1377.112332
89	1377.068584
90	1377.031988
91	1377.004084
92	1376.969008
93	1376.95438
94	1376.935856
95	1376.879185
96	1376.865686
97	1376.825717
98	1376.806499
99	1376.794155
100	1376.772791
101	1376.753183
102	1376.730016
103	1376.702163
104	1376.669564
105	1376.638366
106	1376.603577
107	1376.589095
108	1376.564218
109	1376.54643
110	1376.546428
111	1376.533154
112	1376.503053
113	1376.48155
114	1376.457563
115	1376.435337
116	1376.418889
117	1376.390678
118	1376.356828
119	1376.345655
120	1376.326213
121	1376.306647
122	1376.286069
123	1376.244754
124	1376.209752
125	1376.18117
126	1376.1601
127	1376.134215
128	1376.106948
129	1376.081379
130	1376.059812
131	1376.038074
132	1376.015344
133	1375.998012
134	1375.978133
135	1375.955999
136	1375.931377
137	1375.917882
138	1375.904519
139	1375.886527
140	1375.864337
141	1375.844803
142	1375.823554
143	1375.812416
144	1375.792515
145	1375.766742
146	1375.750181
147	1375.733281
148	1375.718476
149	1375.702826
150	1375.684414
151	1375.666082
152	1375.65039
153	1375.6356
154	1375.623928
155	1375.609181
156	1375.597707
157	1375.582332
158	1375.573832
159	1375.553384
160	1375.540855
161	1375.530231
162	1375.515851
163	1375.504128
164	1375.491696
165	1375.477977
166	1375.466138
167	1375.452397
168	1375.437695
169	1375.424376
170	1375.414182
171	1375.396434
172	1375.386563
173	1375.374168
174	1375.363071
175	1375.349085
176	1375.334394
177	1375.319607
178	1375.306166
179	1375.297259
180	1375.285269
181	1375.278658
182	1375.267291
183	1375.259516
184	1375.247917
185	1375.2378
186	1375.227913
187	1375.205731
188	1375.196642
189	1375.187511
190	1375.179443
191	1375.168507
192	1375.158291
193	1375.147169
194	1375.134649
195	1375.127216
196	1375.118877
197	1375.110871
198	1375.103338
199	1375.094706
200	1375.079749
201	1375.070836
202	1375.055681
203	1375.04499
204	1375.030038
205	1375.023738
206	1375.003228
207	1374.991806
208	1374.980647
209	1374.973632
210	1374.964514
211	1374.958046
212	1374.952779
213	1374.944779
214	1374.93814
215	1374.932295
216	1374.92485
217	1374.917484
218	1374.911954
219	1374.895368
220	1374.887089
221	1374.881682
222	1374.853931
223	1374.845487
224	1374.839235
225	1374.834662
226	1374.829539
227	1374.822502
228	1374.812129
229	1374.805513
230	1374.799293
231	1374.792361
232	1374.785042
233	1374.77152
234	1374.761985
235	1374.754017
236	1374.745931
237	1374.739564
238	1374.733294
239	1374.727097
240	1374.719376
241	1374.710236
242	1374.705977
243	1374.700047
244	1374.694399
245	1374.684742
246	1374.679125
247	1374.673105
248	1374.664622
249	1374.657409
250	1374.649886
251	1374.645625
252	1374.636494
253	1374.631911
254	1374.626668
255	1374.621821
256	1374.609711
257	1374.599324
258	1374.594817
259	1374.584449
260	1374.576406
261	1374.56959
262	1374.562001
263	1374.55745
264	1374.546248
265	1374.538597
266	1374.531149
267	1374.526035
268	1374.519939
269	1374.515652
270	1374.512108
271	1374.504487
272	1374.497319
273	1374.491364
274	1374.487643
275	1374.481664
276	1374.477433
277	1374.47034
278	1374.464337
279	1374.454701
280	1374.451099
281	1374.445147
282	1374.441196
283	1374.437163
284	1374.430745
285	1374.426188
286	1374.421962
287	1374.416682
288	1374.411512
289	1374.391642
290	1374.388158
291	1374.381055
292	1374.375332
293	1374.365838
294	1374.353009
295	1374.342142
296	1374.33781
297	1374.331406
298	1374.324071
299	1374.319159
300	1374.315892
301	1374.308363
302	1374.29859
303	1374.293679
304	1374.285542
305	1374.279114
306	1374.274701
307	1374.267522
308	1374.259283
309	1374.252002
310	1374.247625
311	1374.24329
312	1374.237132
313	1374.233859
314	1374.230883
315	1374.225341
316	1374.218843
317	1374.214238
318	1374.209212
319	1374.206087
320	1374.191021
321	1374.185435
322	1374.180184
323	1374.174861
324	1374.169048
325	1374.164157
326	1374.160118
327	1374.148258
328	1374.14535
329	1374.140684
330	1374.133714
331	1374.128054
332	1374.120523
333	1374.112014
334	1374.109407
335	1374.104435
336	1374.100699
337	1374.094814
338	1374.089687
339	1374.084431
340	1374.080553
341	1374.076622
342	1374.072335
343	1374.066513
344	1374.060991
345	1374.055296
346	1374.052126
347	1374.047794
348	1374.042912
349	1374.039596
350	1374.034897
351	1374.029851
352	1374.024902
353	1374.018896
354	1374.013823
355	1374.005984
356	1373.998646
357	1373.994208
358	1373.988072
359	1373.984427
360	1373.981385
361	1373.973804
362	1373.966584
363	1373.963977
364	1373.961814
365	1373.958747
366	1373.954824
367	1373.949881
368	1373.945121
369	1373.940162
370	1373.937151
371	1373.933032
372	1373.92767
373	1373.92355
374	1373.920435
375	1373.916985
376	1373.914209
377	1373.905903
378	1373.90393
379	1373.902022
380	1373.898212
381	1373.893585
382	1373.888902
383	1373.883646
384	1373.880816
385	1373.875758
386	1373.870876
387	1373.868017
388	1373.865547
389	1373.8632
390	1373.860986
391	1373.857423
392	1373.851902
393	1373.847908
394	1373.845406
395	1373.843542
396	1373.838991
397	1373.836802
398	1373.828256
399	1373.82591
400	1373.824017
401	1373.820513
402	1373.816781
403	1373.8142
404	1373.809278
405	1373.801445
406	1373.798709
407	1373.797149
408	1373.794883
409	1373.789504
410	1373.7874
411	1373.784045
412	1373.780017
413	1373.775379
414	1373.762348
415	1373.758457
416	1373.75153
417	1373.747502
418	1373.74304
419	1373.735049
420	1373.729961
421	1373.726846
422	1373.72213
423	1373.720047
424	1373.716269
425	1373.712358
426	1373.706758
427	1373.703084
428	1373.700393
429	1373.695474
430	1373.692641
431	1373.684019
432	1373.682732
433	1373.679081
434	1373.671985
435	1373.670645
436	1373.668726
437	1373.660184
438	1373.657022
439	1373.650015
440	1373.646993
441	1373.645496
442	1373.639199
443	1373.634905
444	1373.633281
445	1373.630463
446	1373.624733
447	1373.619129
448	1373.615075
449	1373.611083
450	1373.606884
451	1373.604121
452	1373.600535
453	1373.596166
454	1373.592911
455	1373.58917
456	1373.585986
457	1373.584286
458	1373.575316
459	1373.569707
460	1373.564639
461	1373.558313
462	1373.553537
463	1373.551759
464	1373.550095
465	1373.547861
466	1373.542574
467	1373.537383
468	1373.531873
469	1373.530555
470	1373.527718
471	1373.525447
472	1373.521111
473	1373.517229
474	1373.514865
475	1373.512181
476	1373.508985
477	1373.506655
478	1373.503103
479	1373.500486
480	1373.498127
481	1373.494798
482	1373.490965
483	1373.489277
484	1373.484806
485	1373.482425
486	1373.481109
487	1373.477045
488	1373.475983
489	1373.474046
490	1373.468062
491	1373.466597
492	1373.463442
493	1373.460818
494	1373.457388
495	1373.454106
496	1373.450253
497	1373.44206
498	1373.437456
499	1373.432403
500	1373.428957
501	1373.425748
502	1373.423365
503	1373.421721
504	1373.418234
505	1373.415552
506	1373.414465
507	1373.413563
508	1373.410328
509	1373.408691
510	1373.407066
511	1373.40349
512	1373.401339
513	1373.397265
514	1373.394559
515	1373.391903
516	1373.390489
517	1373.386684
518	1373.384723
519	1373.38196
520	1373.379983
521	1373.379232
522	1373.37381
523	1373.372236
524	1373.367687
525	1373.361859
526	1373.357209
527	1373.352479
528	1373.350623
529	1373.349219
530	1373.346776
531	1373.342911
532	1373.340635
533	1373.339424
534	1373.337585
535	1373.334937
536	1373.333603
537	1373.331935
538	1373.33061
539	1373.329381
540	1373.326942
541	1373.324594
542	1373.322582
543	1373.31699
544	1373.312964
545	1373.310598
546	1373.308378
547	1373.305194
548	1373.302037
549	1373.297373
550	1373.295514
551	1373.290307
552	1373.288379
553	1373.286683
554	1373.284682
555	1373.281475
556	1373.278795
557	1373.27587
558	1373.271202
559	1373.267829
560	1373.265411
561	1373.26195
562	1373.259963
563	1373.25777
564	1373.252351
565	1373.247801
566	1373.246264
567	1373.243645
568	1373.241735
569	1373.238773
570	1373.237196
571	1373.233404
572	1373.228993
573	1373.225432
574	1373.221666
575	1373.218487
576	1373.215965
577	1373.213652
578	1373.210266
579	1373.208756
580	1373.205431
581	1373.204128
582	1373.201372
583	1373.196317
584	1373.195496
585	1373.194458
586	1373.192668
587	1373.191314
588	1373.190715
589	1373.18907
590	1373.184358
591	1373.182528
592	1373.180559
593	1373.178152
594	1373.176371
595	1373.173293
596	1373.170712
597	1373.166413
598	1373.164953
599	1373.163345
600	1373.161601
601	1373.158405
602	1373.1558
603	1373.153266
604	1373.149653
605	1373.146214
606	1373.142233
607	1373.140074
608	1373.138551
609	1373.135381
610	1373.129317
611	1373.127848
612	1373.124163
613	1373.11975
614	1373.118551
615	1373.117506
616	1373.114579
617	1373.111212
618	1373.110041
619	1373.108751
620	1373.106433
621	1373.103511
622	1373.101642
623	1373.099059
624	1373.095783
625	1373.087798
626	1373.08397
627	1373.081264
628	1373.079253
629	1373.077083
630	1373.074484
631	1373.07285
632	1373.070724
633	1373.068089
634	1373.06487
635	1373.060909
636	1373.055461
637	1373.052527
638	1373.050843
639	1373.048645
640	1373.047019
641	1373.045545
642	1373.043079
643	1373.041876
644	1373.041216
645	1373.040027
646	1373.035143
647	1373.032411
648	1373.030241
649	1373.028788
650	1373.025129
651	1373.022883
652	1373.021593
653	1373.018372
654	1373.0172
655	1373.01566
656	1373.013824
657	1373.012065
658	1373.011276
659	1373.007638
660	1373.0066
661	1373.003525
662	1373.001766
663	1373.00073
664	1372.995374
665	1372.994818
666	1372.993524
667	1372.99002
668	1372.987052
669	1372.982589
670	1372.980746
671	1372.97876
672	1372.97596
673	1372.971968
674	1372.969714
675	1372.968232
676	1372.966202
677	1372.959556
678	1372.957425
679	1372.954943
680	1372.952761
681	1372.950429
682	1372.948033
683	1372.94701
684	1372.945538
685	1372.943758
686	1372.943017
687	1372.942234
688	1372.939973
689	1372.93855
690	1372.933303
691	1372.92968
692	1372.927845
693	1372.926131
694	1372.924109
695	1372.921776
696	1372.919342
697	1372.917032
698	1372.914434
699	1372.912636
700	1372.908807
701	1372.905344
702	1372.902483
703	1372.899564
704	1372.897174
705	1372.893945
706	1372.892154
707	1372.889146
708	1372.888055
709	1372.886074
710	1372.883203
711	1372.880873
712	1372.879183
713	1372.873686
714	1372.872667
715	1372.871291
716	1372.870268
717	1372.869348
718	1372.86874
719	1372.8644
720	1372.862939
721	1372.86007
722	1372.856528
723	1372.855148
724	1372.852809
725	1372.850975
726	1372.850387
727	1372.84779
728	1372.844706
729	1372.841056
730	1372.839086
731	1372.836688
732	1372.835653
733	1372.832629
734	1372.831958
735	1372.829237
736	1372.827436
737	1372.826046
738	1372.821754
739	1372.819064
740	1372.81642
741	1372.811431
742	1372.809013
743	1372.806773
744	1372.803647
745	1372.802196
746	1372.800084
747	1372.798823
748	1372.796119
749	1372.793818
750	1372.791497
751	1372.790395
752	1372.787178
753	1372.785099
754	1372.78426
755	1372.781109
756	1372.77927
757	1372.77804
758	1372.776738
759	1372.77527
760	1372.774527
761	1372.771983
762	1372.768248
763	1372.766522
764	1372.764888
765	1372.763163
766	1372.759855
767	1372.75855
768	1372.757251
769	1372.756453
770	1372.755683
771	1372.752302
772	1372.751716
773	1372.747867
774	1372.744998
775	1372.743906
776	1372.741911
777	1372.739403
778	1372.738152
779	1372.736308
780	1372.731149
781	1372.72915
782	1372.728564
783	1372.725353
784	1372.724386
785	1372.722459
786	1372.721461
787	1372.71983
788	1372.718127
789	1372.717311
790	1372.715109
791	1372.713592
792	1372.712369
793	1372.711132
794	1372.707583
795	1372.705653
796	1372.703134
797	1372.701864
798	1372.69903
799	1372.697334
800	1372.696223
801	1372.694122
802	1372.692765
803	1372.690826
804	1372.688242
805	1372.687269
806	1372.684784
807	1372.68273
808	1372.680112
809	1372.679104
810	1372.676527
811	1372.674646
812	1372.671336
813	1372.669156
814	1372.667778
815	1372.667005
816	1372.663628
817	1372.662579
818	1372.65973
819	1372.658758
820	1372.657846
821	1372.654169
822	1372.653144
823	1372.652487
824	1372.649882
825	1372.647742
826	1372.645694
827	1372.643237
828	1372.641367
829	1372.637606
830	1372.636595
831	1372.634595
832	1372.6328
833	1372.631954
834	1372.63118
835	1372.629136
836	1372.627262
837	1372.626025
838	1372.623516
839	1372.622689
840	1372.620803
841	1372.617835
842	1372.615789
843	1372.611675
844	1372.6097
845	1372.608325
846	1372.606394
847	1372.604074
848	1372.602689
849	1372.601055
850	1372.599587
851	1372.598239
852	1372.595527
853	1372.593129
854	1372.590682
855	1372.588715
856	1372.586948
857	1372.585872
858	1372.585084
859	1372.583356
860	1372.581442
861	1372.57953
862	1372.578167
863	1372.576791
864	1372.575954
865	1372.574302
866	1372.573645
867	1372.571206
868	1372.57039
869	1372.568836
870	1372.568197
871	1372.566283
872	1372.563749
873	1372.562696
874	1372.560922
875	1372.560461
876	1372.558221
877	1372.555295
878	1372.552773
879	1372.550124
880	1372.548776
881	1372.546705
882	1372.544376
883	1372.542763
884	1372.541424
885	1372.540132
886	1372.538361
887	1372.535077
888	1372.533541
889	1372.532868
890	1372.531478
891	1372.528275
892	1372.527126
893	1372.526301
894	1372.525466
895	1372.52437
896	1372.522446
897	1372.521451
898	1372.519684
899	1372.518124
900	1372.516905
901	1372.514209
902	1372.513248
903	1372.508519
904	1372.507112
905	1372.505179
906	1372.503333
907	1372.502385
908	1372.501613
909	1372.500118
910	1372.497979
911	1372.497253
912	1372.495186
913	1372.493744
914	1372.492959
915	1372.491926
916	1372.489744
917	1372.488169
918	1372.487544
919	1372.485149
920	1372.48311
921	1372.482013
922	1372.481246
923	1372.48084
924	1372.479284
925	1372.477631
926	1372.476373
927	1372.471089
928	1372.470585
929	1372.469266
930	1372.467171
931	1372.466572
932	1372.465
933	1372.462455
934	1372.461933
935	1372.460572
936	1372.45877
937	1372.456975
938	1372.455847
939	1372.453038
940	1372.45203
941	1372.450601
942	1372.448955
943	1372.448067
944	1372.446464
945	1372.444618
946	1372.443826
947	1372.442879
948	1372.441007
949	1372.44007
950	1372.434616
951	1372.433135
952	1372.430311
953	1372.428454
954	1372.426169
955	1372.423529
956	1372.422984
957	1372.421829
958	1372.420799
959	1372.420148
960	1372.419245
961	1372.416364
962	1372.414555
963	1372.413782
964	1372.412725
965	1372.410897
966	1372.410235
967	1372.409012
968	1372.405644
969	1372.404554
970	1372.404161
971	1372.40164
972	1372.400575
973	1372.399905
974	1372.398764
975	1372.398354
976	1372.396908
977	1372.39403
978	1372.392584
979	1372.391451
980	1372.390089
981	1372.389342
982	1372.388977
983	1372.388249
984	1372.386942
985	1372.385569
986	1372.38344
987	1372.382714
988	1372.381809
989	1372.380313
990	1372.376548
991	1372.374331
992	1372.372772
993	1372.371228
994	1372.370564
995	1372.368512
996	1372.367518
997	1372.366661
998	1372.365212
999	1372.363917
