iter	Passed	Remaining
0	166	166493
1	191	95361
2	215	71454
3	234	58366
4	261	52002
5	284	47167
6	310	44102
7	336	41760
8	374	41199
9	394	39032
10	417	37494
11	441	36381
12	470	35696
13	493	34743
14	514	33771
15	534	32892
16	556	32202
17	581	31720
18	606	31308
19	626	30674
20	649	30294
21	671	29834
22	694	29522
23	717	29189
24	742	28940
25	761	28526
26	787	28394
27	811	28179
28	831	27833
29	856	27683
30	878	27454
31	905	27384
32	930	27266
33	954	27106
34	977	26956
35	996	26674
36	1021	26583
37	1045	26460
38	1063	26208
39	1088	26130
40	1110	25971
41	1133	25847
42	1155	25711
43	1178	25607
44	1194	25347
45	1218	25270
46	1239	25137
47	1262	25036
48	1288	25010
49	1312	24936
50	1337	24892
51	1358	24759
52	1383	24717
53	1404	24609
54	1429	24555
55	1453	24493
56	1474	24387
57	1493	24258
58	1517	24198
59	1540	24135
60	1560	24028
61	1587	24010
62	1611	23964
63	1629	23835
64	1653	23782
65	1675	23710
66	1695	23612
67	1717	23545
68	1741	23498
69	1758	23359
70	1783	23340
71	1808	23305
72	1827	23200
73	1851	23173
74	1874	23113
75	1894	23033
76	1915	22963
77	1939	22919
78	1960	22860
79	1982	22801
80	2005	22753
81	2024	22664
82	2049	22639
83	2070	22573
84	2090	22500
85	2113	22464
86	2136	22419
87	2157	22359
88	2182	22336
89	2206	22308
90	2225	22225
91	2250	22214
92	2272	22167
93	2300	22174
94	2322	22124
95	2345	22086
96	2369	22062
97	2388	21984
98	2411	21950
99	2435	21919
100	2455	21854
101	2479	21831
102	2502	21791
103	2521	21723
104	2544	21687
105	2569	21668
106	2587	21594
107	2612	21573
108	2632	21522
109	2651	21453
110	2666	21352
111	2688	21314
112	2709	21270
113	2733	21240
114	2751	21173
115	2774	21145
116	2802	21147
117	2821	21089
118	2846	21074
119	2867	21024
120	2888	20980
121	2911	20950
122	2933	20918
123	2954	20871
124	2977	20841
125	2999	20804
126	3019	20754
127	3043	20732
128	3066	20705
129	3090	20682
130	3112	20650
131	3136	20624
132	3160	20605
133	3180	20554
134	3204	20533
135	3223	20477
136	3248	20462
137	3271	20437
138	3297	20426
139	3317	20380
140	3342	20364
141	3368	20351
142	3389	20314
143	3415	20306
144	3440	20285
145	3460	20242
146	3479	20193
147	3501	20154
148	3525	20134
149	3545	20089
150	3568	20062
151	3594	20053
152	3619	20036
153	3643	20013
154	3662	19968
155	3684	19936
156	3707	19906
157	3731	19883
158	3750	19835
159	3774	19817
160	3800	19806
161	3821	19766
162	3843	19738
163	3867	19714
164	3886	19669
165	3907	19633
166	3932	19617
167	3957	19600
168	3977	19559
169	4001	19535
170	4025	19513
171	4046	19478
172	4072	19465
173	4093	19433
174	4113	19394
175	4136	19364
176	4161	19347
177	4180	19305
178	4205	19287
179	4228	19261
180	4249	19226
181	4272	19204
182	4294	19171
183	4317	19146
184	4340	19120
185	4369	19120
186	4393	19099
187	4415	19069
188	4438	19044
189	4460	19017
190	4483	18988
191	4506	18963
192	4528	18936
193	4547	18891
194	4572	18875
195	4594	18847
196	4619	18829
197	4642	18802
198	4662	18768
199	4686	18746
200	4707	18712
201	4728	18679
202	4747	18638
203	4772	18621
204	4805	18637
205	4826	18604
206	4851	18585
207	4872	18554
208	4896	18533
209	4920	18510
